"id","continent","country","city"
"1000001000","日本","北海道","北海道"
"1000002000","日本","青森県","青森県"
"1000003000","日本","岩手県","岩手県"
"1000004000","日本","宮城県","宮城県"
"1000005000","日本","秋田県","秋田県"
"1000006000","日本","山形県","山形県"
"1000007000","日本","福島県","福島県"
"1000008000","日本","茨城県","茨城県"
"1000009000","日本","栃木県","栃木県"
"1000010000","日本","群馬県","群馬県"
"1000011000","日本","埼玉県","埼玉県"
"1000012000","日本","千葉県","千葉県"
"1000013000","日本","東京都","東京都"
"1000014000","日本","神奈川県","神奈川県"
"1000015000","日本","新潟県","新潟県"
"1000016000","日本","富山県","富山県"
"1000017000","日本","石川県","石川県"
"1000018000","日本","福井県","福井県"
"1000019000","日本","山梨県","山梨県"
"1000020000","日本","長野県","長野県"
"1000021000","日本","岐阜県","岐阜県"
"1000022000","日本","静岡県","静岡県"
"1000023000","日本","愛知県","愛知県"
"1000024000","日本","三重県","三重県"
"1000025000","日本","滋賀県","滋賀県"
"1000026000","日本","京都府","京都府"
"1000027000","日本","大阪府","大阪府"
"1000028000","日本","兵庫県","兵庫県"
"1000029000","日本","奈良県","奈良県"
"1000030000","日本","和歌山県","和歌山県"
"1000031000","日本","鳥取県","鳥取県"
"1000032000","日本","島根県","島根県"
"1000033000","日本","岡山県","岡山県"
"1000034000","日本","広島県","広島県"
"1000035000","日本","山口県","山口県"
"1000036000","日本","徳島県","徳島県"
"1000037000","日本","香川県","香川県"
"1000038000","日本","愛媛県","愛媛県"
"1000039000","日本","高知県","高知県"
"1000040000","日本","福岡県","福岡県"
"1000041000","日本","佐賀県","佐賀県"
"1000042000","日本","長崎県","長崎県"
"1000043000","日本","熊本県","熊本県"
"1000044000","日本","大分県","大分県"
"1000045000","日本","宮崎県","宮崎県"
"1000046000","日本","鹿児島県","鹿児島県"
"1000047000","日本","沖縄県","沖縄県"
"2000001000","ビーチ/リゾート","グアム","グアム"
"2000003000","ビーチ/リゾート","サモア","サモア"
"2000004000","ビーチ/リゾート","タヒチ","タヒチ"
"2000005000","ビーチ/リゾート","トンガ","トンガ"
"2000007000","ビーチ/リゾート","バヌアツ","バヌアツ"
"2000009000","ビーチ/リゾート","フィジー","フィジー"
"2000012000","ビーチ/リゾート","モルディブ","モルディブ"
"2001001000","北米","アメリカ合衆国","アメリカ合衆国"
"2001001001","北米","アメリカ合衆国","ニューヨーク"
"2001001002","北米","アメリカ合衆国","ロサンジェルス"
"2001001003","北米","アメリカ合衆国","ボストン"
"2001001004","北米","アメリカ合衆国","シカゴ"
"2001001005","北米","アメリカ合衆国","シアトル"
"2001001006","北米","アメリカ合衆国","ワシントンD.C."
"2001001007","北米","アメリカ合衆国","サンフランシスコ"
"2001001008","北米","アメリカ合衆国","マイアミ"
"2001001009","北米","アメリカ合衆国","ラスベガス"
"2001001010","北米","アメリカ合衆国","デトロイト"
"2001001012","北米","アメリカ合衆国","ハワイ"
"2001001013","北米","アメリカ合衆国","サイパン"
"2001002000","北米","アラスカ（アメリカ）","アラスカ（アメリカ）"
"2001003000","北米","カナダ","カナダ"
"2001003001","北米","カナダ","バンクーバー"
"2002001000","アジア","インド","インド"
"2002002000","アジア","インドネシア","インドネシア"
"2002002001","アジア","インドネシア","バリ"
"2002003000","アジア","韓国","韓国"
"2002003001","アジア","韓国","ソウル"
"2002004000","アジア","カンボジア","カンボジア"
"2002005000","アジア","シンガポール","シンガポール"
"2002006000","アジア","スリランカ","スリランカ"
"2002007000","アジア","タイ","タイ"
"2002007001","アジア","タイ","バンコク"
"2002007002","アジア","タイ","プーケット"
"2002008000","アジア","台湾","台湾"
"2002009000","アジア","中国","中国"
"2002009001","アジア","中国","上海"
"2002009002","アジア","中国","北京"
"2002010000","アジア","ネパール","ネパール"
